"Bank","Code","Country","Tag","Currency"
"Mobile Money","FMM","CM","fmm","XAF"
"MyBucks Banking Corporation","200515860C","Malawi","mybucksbanking","MWK"
"ECOCMWMW","20052388CJ","Malawi","ecocmwmw","MWK"
"Standard Bank Limited","20473700","Malawi","standardbanklimited","MWK"
"National Bank of Malawi","20474000","Malawi","nationalbankmalawi","MWK"
"Reserve Bank of Malawi","20474200","Malawi","reservebankmalawi","MWK"
"FDH Bank Limited","25919656","Malawi","fdhbanklimited","MWK"
"CDH Investment Bank (CDHIB)","26698436","Malawi","cdhinvestmentbank","MWK"
"First Merchant Bank","97157104","Malawi","firstmerchantbank","MWK"
"NBS Bank PLC","97517874","Malawi","nbsbankplc","MWK"
"Standard Bank Limited","97517874","Malawi","standardbanklimited","MWK"
"Ecobank Malawi","MW040000","Malawi","ecobankmalawi","MWK"
"Orange Money","ORANGEMONEY","Senegal","orangemoney","XOF"
"Free Money","FREEMONEY","Senegal","freemoney","XOF"
"E Money","EMONEY","Senegal","emoney","XOF"
"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK","ADCC","India","akolacoop","INR"
"ABHYUDAYA COOPERATIVE BANK LIMITED","ABHY","India","abhyudayacoop","INR"
"STATE BANK OF INDIA","SBIN","India","sbin","INR"
"PatrickGold Microfinance Bank","090317","Nigeria","patrickgold","NGN"
"Abu Dhabi Islamic Bank","ADIB","Egypt","abudhabi","EGP"
"Arab African International Bank","AAIB","Egypt","arabafrican","EGP"
"Arab Banking Corporation","ABC","Egypt","arabbanking","EGP"
"Al Ahli Bank of Kuwait – Egypt","ABK","Egypt","alahlibank","EGP"
"Al Baraka Bank Egypt","ABRK","Egypt","albaraka","EGP"
"Arab Investment Bank","AIB","Egypt","arabinvestment","EGP"
"Arab Bank","ARAB","Egypt","arabbank","EGP"
"Arab International Bank","ARIB","Egypt","arabinternational","EGP"
"Ahly United Bank","AUB","Egypt","ahlyunited","EGP"
"Audi Bank","AUDI","Egypt","audibank","EGP"
"Attijariwafa Bank Egypt","BBE","Egypt","attijariwafa","EGP"
"Banque Du Caire","BDC","Egypt","banqueducaire","EGP"
"Blom Bank Egypt","BLOM","Egypt","blombank","EGP"
"Bank of Alexandria","BOA","Egypt","alexandria","EGP"
"Credit Agricole Egypt","CAE","Egypt","creditagricole","EGP"
"Central Bank of Egypt","CBE","Egypt","centralbankeg","EGP"
"Commercial International Bank","CIB","Egypt","commercint","EGP"
"Citibank","CITI","Egypt","citibank","EGP"
"Egyptian Arab Land Bank","EALB","Egypt","egparab","EGP"
"Export Development Bank of Egypt","EDBE","Egypt","exportdev","EGP"
"Egyptian Gulf Bank","EGB","Egypt","egpgulfbank","EGP"
"Emirates National Bank of Dubai","ENDB","Egypt","emirates","EGP"
"First Abu Dhabi Bank","FAB","Egypt","firstabudhabi","EGP"
"Misr Iran Development Bank","MIDB","Egypt","misriran","EGP"
"Banque Misr","MISR","Egypt","banquemisr","EGP"
"National Bank of Egypt","NBE","Egypt","nationalbegp","EGP"
"National Bank of Greece","NBG","Egypt","nationalbgrc","EGP"
"National Bank of Kuwait","NBK","Egypt","nationalbkuw","EGP"
"Nasser Social Bank","NSB","Egypt","nasser","EGP"
"The Principal Bank for Development and Agri.","PDAC","Egypt","principalbank","EGP"
"Egypt Post","POST","Egypt","egyptpost","EGP"
"Qatar National Bank Alahli","QNB","Egypt","qatarnational","EGP"
"Societe Arabe Internationale De Banque","SAIB","Egypt","societearabe","EGP"
"Suez Canal Bank","SCB","Egypt","suezcanal","EGP"
"The United Bank","UB","Egypt","unitedbank","EGP"
"Union National Bank","UNB","Egypt","unionnational","EGP"
"Faisal Islamic Bank of Egypt","FAIB","Egypt","faisal","EGP"
"Housing And Development Bank","HDB","Egypt","housinganddev","EGP"
"HSBC","HSBC","Egypt","hsbc","EGP"
"Industrial Development Bank of Egypt","IDB","Egypt","industrialdev","EGP"
"Mashreq Bank","MASH","Egypt","mashreq","EGP"
"Taj Bank Limited","000026","Nigeria","taj","NGN"
"Cashconnect Microfinance Bank","090360","Nigeria","cashconnect","NGN"
"WAVE","WAVE","Senegal","wave","XOF"
"FEDETH MICROFINANCE BANK","090482","Nigeria","fedeth","NGN"
"Access","Access","South Africa","access","ZAR"
"Afribank","Afribank","South Africa","afribank","ZAR"
"The Bank of New York Mellon","BNY","South Africa","bny","ZAR"
"Firstrand","Firstrand","South Africa","firstrand","ZAR"
"Grindrod","Grindrod","South Africa","grindrod","ZAR"
"HSBC","HSBC","South Africa","hsbc","ZAR"
"Imperial","Imperial","South Africa","imperial","ZAR"
"Mercantile Bank","Merchantile","South Africa","merchantile","ZAR"
"Sasfin","Sasfin","South Africa","sasfin","ZAR"
"TYME","Tyme","South Africa","tyme","ZAR"
"Ubank","Ubank","South Africa","ubank","ZAR"
"Windhoek Bank","windhoek","South Africa","windhoek","ZAR"
"Fairmoney Microfinance Bank Ltd","090551","Nigeria","fairmoney","NGN"
"VFD Micro Finance Bank","090110","Nigeria","vfd","NGN"
"Moniepoint Microfinance Bank","090405","Nigeria","moniepoint","NGN"
"Carbon","100026","Nigeria","carbon","NGN"
"Citibank Senegal SA","11118516","Senegal","citibank","XOF"
"Tresor Public","11350420","Senegal","tresorpublic","XOF"
"TRESORE PUBLIQUE DU SENEGAL","2004177TNW","Senegal","tresorepublique","XOF"
"Banque Centrale des Etats de l'Afrique de l'Ouest","20548000","Senegal","banquecentraledesetats","XOF"
"Banque de l'Habitat du Senegal","20548200","Senegal","banquedelhabitat","XOF"
"Sunu Bank Senegal","20548300","SN","sunubank","XOF"
"Banque Islamique du Senegal","20548400","Senegal","banqueislamique","XOF"
"CBAO Groupe Attijariwafa Bank","20548600","Senegal","cbaogroupeattijariwafa","XOF"
"Caisse Nationale de Credit Agricole du Senegal (CNCAS)","20548700","Senegal","caissenationaledecreditagricole","XOF"
"Le Credit du Senegal","20549000","Senegal","lecredit","XOF"
"Societe Generale de Banques au Senegal","20549200","Senegal","societegenerale","XOF"
"La Poste","25522982","Senegal","laposte","XOF"
"Caisse Nationale D'Epargne","25553408","Senegal","caisetnationale","XOF"
"Depositaire Central-Banque De Reglement (Dcbr Sene","25556432","Senegal","depositairecentralbanquedereglement","XOF"
"Banque Atlantique Senegal","25562426","Senegal","banqueatlantique","XOF"
"International Commercial Bank Senegal","25570376","Senegal","internationalcommercialbanksenegal","XOF"
"Banque Regionale De Marches","25678444","Senegal","banqueregionaledemarches","XOF"
"United Bank For Africa Senegal","26158952","Senegal","unitedbankforafricasenegal","XOF"
"Diamondbank Senegal","26187602","Senegal","diamondbanksenegal","XOF"
"Sonabanque","26618306","Senegal","sonabanque","XOF"
"Union Senegalaise De Banque Pour Le Commerce Et L'Industrie","26618732","Senegal","unionsenegalaisedebanquepourlecommerceetlindustrie","XOF"
"Banque Nationale Pour Le Developpement Economique Du Senegal (Bnde)","27133146","Senegal","banquenationnellepourledeveloppementeconomique","XOF"
"Banque De Dakar","27319932","Senegal","banquededakar","XOF"
"Bgfibank Senegal","27351976","Senegal","bgfibank","XOF"
"La Banque Outarde SA","27547348","Senegal","labanqueoutarde","XOF"
"Bank of Africa-Senegal","97825764","Senegal","bankofafricasenegal","XOF"
"Banque Sahelo-Saharienne pour l'Investissement et le Commerce Senegal","98116464","Senegal","banquesahariennepourlinvestissementetlecommerce","XOF"
"BANQUE DES INSTITUTIONS MUTUALISTES D'AFRIQUE DE L'OUEST","98252072","Senegal","banquedesinstitutionsmutualistesafriquedelouest","XOF"
"Credit International SA","99985664","Senegal","creditinternational","XOF"
"Ecobank Senegal","SN094000","Senegal","ecobanksenegal","XOF"
"Rockland Trust Bank","011304478","US","rocklandtrustbank","USD"
"HSBC","021001088","US","hsbc","USD"
"Citizens Bank","021313103","US","citizensbank","USD"
"Citibank","031100209","US","citibank","USD"
"PNC Bank","043000096","US","pncbank","USD"
"Bank of America","051000017","US","bankofamerica","USD"
"Sun Trust Bank","061000104","US","suntrustbank","USD"
"First Century Bank","061120084","US","firstcenturybank","USD"
"Regions Bank","062000019","US","regionsbank","USD"
"BB&T","062203984","US","bbt","USD"
"Grand Ridge National Bank","071913278","US","grandridgenationalbank","USD"
"US Bank National Association","081000210","US","usbanknationalassociation","USD"
"Transferwise","084009519","US","transferwise","USD"
"Evolve Bank & Trust","084106768","US","evolvebanktrust","USD"
"Choice Financial Group","091311229","US","choicefinancialgroup","USD"
"Liberty Bank - Irving","111040195","US","libertybankirving","USD"
"Liberty Bank of Maryland","111302846","US","libertybankofmaryland","USD"
"Liberty National Bank","111305115","US","libertynationalbank","USD"
"Lihue Credit Union","111308442","US","lihuecreditunion","USD"
"Lincoln State Bank","111310870","US","lincolnstatebank","USD"
"Loco Credit Union","111322318","US","lococreditunion","USD"
"Wells Fargo Bank","111900659","US","wellsfargobank","USD"
"Lowland Credit Union","111903232","US","lowlandcreditunion","USD"
"Luana Savings Bank","111903517","US","luanasavingsbank","USD"
"M&T Bank - Kemp","111905324","US","mtbankkemp","USD"
"Main Source Bank","111909676","US","mainsourcebank","USD"
"Mainsource Bank","111910445","US","mainsourcebank","USD"
"Marquette Bank","111920765","US","marquettebank","USD"
"Marvel City FCU","111924606","US","marvelcityfcu","USD"
"Farmers State Bank","112207416","US","farmersstatebank","USD"
"Telcom Credit Union","113103726","US","telcomcreditunion","USD"
"Members Credit Union","113108802","US","memberscreditunion","USD"
"Members United Credit Union","113114294","US","membersunitedcreditunion","USD"
"Merchant and Farmers Bank","113123528","US","merchantandfarmersbank","USD"
"Metro Credit Union","114912686","US","metrocreditunion","USD"
"Sovereign Bank - Hercules","121038773","US","sovereignbankhercules","USD"
"WellsFargo","121042882","US","wellsfargo","USD"
"Brex treasury LLC","121145349","US","brextreasuryllc","USD"
"St Landry Homestead Bank","122042153","US","stlandryhomesteadbank","USD"
"St Louis Bank","122043107","US","stlouisbank","USD"
"Chase Bank","122100024","US","chasebank","USD"
"Tempo Bank - Birmingham","122105744","US","tempobankbirmingham","USD"
"Standard Bank - Beverly Hills","122236244","US","standardbankbeverlyhills","USD"
"Star Financial Bank","122237858","US","starfinancialbank","USD"
"State Bank and Trust","122239869","US","statebankandtrust","USD"
"State Bank of Northwest","122242377","US","statebankofnorthwest","USD"
"State Bank of Bement","122242652","US","statebankofbement","USD"
"State Bank of Cross Plains","122287183","US","statebankofcrossplains","USD"
"State College FCU","122287549","US","statecollegefcu","USD"
"Ally Bank","124003116","US","allybank","USD"
"The Bank of Glen Burnie","125200044","US","thebankofglenburnie","USD"
"Wells Fargo Bank","125200057","US","wellsfargobank","USD"
"The Bank of Henderson","125200921","US","thebankofhenderson","USD"
"The Bank of Houston","125200950","US","thebankofhouston","USD"
"Federal Employees Credit Union","21373059","US","federalemployeescreditunion","USD"
"Federal Home Loan Bank","21410080","US","federalhomeloanbank","USD"
"Federated Bank","21983258","US","federatedbank","USD"
"Fedstar Credit Union","22083665","US","fedstarcreditunion","USD"
"First Area Credit Union","221370108","US","firstareacreditunion","USD"
"First Arkansas Bank","221370399","US","firstarkansasbank","USD"
"First Bank - Auburn","221371194","US","firstbankauburn","USD"
"First Bank of Berne","221379808","US","firstbankofberne","USD"
"First Century Bank","221478877","US","firstcenturybank","USD"
"First Citrus Bank","222080125","US","firstcitrusbank","USD"
"First City Bank","222080138","US","firstcitybank","USD"
"First Community Bank","222380702","US","firstcommunitybank","USD"
"First Eagle Bank","226071389","US","firsteaglebank","USD"
"First Exchange Bank","226073895","US","firstexchangebank","USD"
"First Farmers National Bank","226075385","US","firstfarmersnationalbank","USD"
"Fifth Third Bank - Astoria","26003272","US","fifththirdbankastoria","USD"
"Tennessee Valley FCU","262000932","US","tennesseevalleyfcu","USD"
"167th TFR Federal CU","262086477","US","167thtfrfederalcu","USD"
"Texas Heritage Bank - Montgomery","262276575","US","texasheritagebankmontgomery","USD"
"Texas National Bank Opelika","262276698","US","texasnationalbankopelika","USD"
"Texico State Bank","262283908","US","texicostatebank","USD"
"The Arlington Bank","262285951","US","thearlingtonbank","USD"
"Bankcorp","262286109","US","bankcorp","USD"
"The Bank - Anniston","262286455","US","thebankanniston","USD"
"The Bank at Broadmoor","262287425","US","thebankatbroadmoor","USD"
"Reed Credit Union","263177547","US","reedcreditunion","USD"
"Regal Bank","263177686","US","regalbank","USD"
"Regal Bank and Trust","263177712","US","regalbankandtrust","USD"
"Regent Bank","263177754","US","regentbank","USD"
"Reliance Bank","263182794","US","reliancebank","USD"
"Remington FCU","263184488","US","remingtonfcu","USD"
"The Bank of Carbondale","265175961","US","thebankofcarbondale","USD"
"The Bank of Commerce","265176038","US","thebankofcommerce","USD"
"The Bank of Fairfield","265186594","US","thebankoffairfield","USD"
"Midland National Bank Newton","311080573","US","midlandnationalbanknewton","USD"
"Midstate Community Bank","311376782","US","midstatecommunitybank","USD"
"Mountain View Bank of Commerce","313177468","US","mountainviewbankofcommerce","USD"
"Municipal Credit Union","313186938","US","municipalcreditunion","USD"
"USAA","314074269","US","usaa","USD"
"Financial Trust FCU","31902407","US","financialtrustfcu","USD"
"Susquehanna Bank","321175261","US","susquehannabank","USD"
"Summit Community Bank","321175627","US","summitcommunitybank","USD"
"Sunrise Bank of Arizona Inglewoo","321181491","US","sunrisebankofarizonainglewoo","USD"
"The Bank of Jackson","321379850","US","thebankofjackson","USD"
"Suntrust Bank Atlanta Los Alamit","322078341","US","suntrustbankatlantalosalamit","USD"
"Sunwest Bank","322079557","US","sunwestbank","USD"
"The Bank of Floyd","322270408","US","thebankoffloyd","USD"
"Surety Bank","322273476","US","suretybank","USD"
"Syringa Bank","322273722","US","syringabank","USD"
"State Savings Bank - Berea","322275490","US","statesavingsbankberea","USD"
"Sandia Lab FCU","322283084","US","sandialabfcu","USD"
"The Bank of Kremlin","325272034","US","thebankofkremlin","USD"
"The bank of Missouri","325272199","US","thebankofmissouri","USD"
"The Bank of New Kenaan","325272270","US","thebankofnewkenaan","USD"
"The Bank of New York Mellon","325272335","US","thebankofnewyorkmellon","USD"
"Tiffin St Joseph F","62103453","US","tiffinstjosephf","USD"
"Tilden Bank","62103592","US","tildenbank","USD"
"Timberland Bank","62103864","US","timberlandbank","USD"
"Timberwood Bank","62104274","US","timberwoodbank","USD"
"Times Federal Credit Union","62104520","US","timesfederalcreditunion","USD"
"Sussex Bank","62200929","US","sussexbank","USD"
"Sussex County FCU","62200961","US","sussexcountyfcu","USD"
"Sutter Community Bank","62201106","US","suttercommunitybank","USD"
"Sutton Bank","62201135","US","suttonbank","USD"
"Suwanne River Federal CU","62201229","US","suwanneriverfederalcu","USD"
"Swedish American FCU","62201397","US","swedishamericanfcu","USD"
"Swedish American StateBank","62201449","US","swedishamericanstatebank","USD"
"Sweet Water State Bank","62201601","US","sweetwaterstatebank","USD"
"Sycamore Federal CU","62202008","US","sycamorefederalcu","USD"
"Symphony Federal CU","62202134","US","symphonyfederalcu","USD"
"Synergy Bank SSB","62202150","US","synergybankssb","USD"
"Synovus Bank","62202532","US","synovusbank","USD"
"Academic Federal CU","62202736","US","academicfederalcu","USD"
"Tappan Credit Union","62202765","US","tappancreditunion","USD"
"Tarboro Savings Banks","62202804","US","tarborosavingsbanks","USD"
"Taylor County Bank","62203049","US","taylorcountybank","USD"
"Taylorsville Savings","62203227","US","taylorsvillesavings","USD"
"TCF National Bank","62203395","US","tcfnationalbank","USD"
"TCF National Bank Illinois","62203641","US","tcfnationalbankillinois","USD"
"TCWH 585 Federal CU","62204006","US","tcwh585federalcu","USD"
"TD Bank - Attalla","62204019","US","tdbankattalla","USD"
"1199 Seiu Federal CU","62205908","US","1199seiufederalcu","USD"
"TD Bank","62206101","US","tdbank","USD"
"Premier Bank - Mount Dora","63103407","US","premierbankmountdora","USD"
"Premier West Bank","63112825","US","premierwestbank","USD"
"Prescott State Bank","63113167","US","prescottstatebank","USD"
"Preston National Bank","63113879","US","prestonnationalbank","USD"
"Prime South Bank","63114629","US","primesouthbank","USD"
"Proficio Bank","63115806","US","proficiobank","USD"
"Progressive FCU","63116177","US","progressivefcu","USD"
"Prosperity Bank","63116481","US","prosperitybank","USD"
"Teachers Credit Union","64103079","US","teacherscreditunion","USD"
"Team Financial FCU","65104611","US","teamfinancialfcu","USD"
"Teamsters Credit Union","65301155","US","teamsterscreditunion","USD"
"121 Financial Credit Union","65403626","US","121financialcreditunion","USD"
"Provident Bank","66015576","US","providentbank","USD"
"Teaneck Federal CU","67008414","US","teaneckfederalcu","USD"
"Tech Credit Union","67010583","US","techcreditunion","USD"
"Putnam County Bank","67014521","US","putnamcountybank","USD"
"Quantum National Bank","67015601","US","quantumnationalbank","USD"
"Raccoon Valley Bank","67092679","US","raccoonvalleybank","USD"
"JPMorgan Chase","CHASUS33XXX","US","jpmorganchase","USD"
"Column NA-Brex","CLNOUS66BRX","US","columnnabrex","USD"
"COMMUNITY FEDERAL SAVINGS BANK","CMFGUS33","US","communityfederalsavingsbank","USD"
"Jefferson Bank","JSBAUS41","US","jeffersonbank","USD"
"Metropolitan Commercial Bank","MCBEUS33","US","metropolitancommercialbank","USD"
"Royal Bank of Canada","ROYCCAT2","US","royalbankofcanada","USD"
"Silicon Valley Bank","SVBKUS6SXXX","US","siliconvalleybank","USD"
"TD Canada Trust","TDOMCATTXXX","US","tdcanadatrust","USD"
"First Bank PLC","011","Nigeria","fbn","USD"
"Union Bank PLC","032","Nigeria","unionbank","USD"
"United Bank for Africa","033","Nigeria","uba","USD"
"Wema Bank PLC","035","Nigeria","wema","USD"
"Access Bank","044","Nigeria","access","USD"
"EcoBank PLC","050","Nigeria","ecobank","USD"
"Zenith Bank PLC","057","Nigeria","zenith","USD"
"Fidelity Bank","070","Nigeria","fidelity","USD"
"Polaris Bank","076","Nigeria","polaris","USD"
"Providus Bank PLC","101","Nigeria","providus","USD"
"First City Monument Bank","214","Nigeria","fcmb","USD"
"MADOBI MFB","090605","Nigeria","madobimfb","NGN"
"FOCUS MFB","090709","Nigeria","focusmfb","NGN"
"UCEE MFB","090706","Nigeria","uceemfb","NGN"
"ISUA MFB","090701","Nigeria","isuamfb","NGN"
"TransPay MFB","090708","Nigeria","transpaymfb","NGN"
"REX Microfinance Bank","090449","Nigeria","rexmfb","NGN"
"Branch International Finance Company Limited","050006","Nigeria","branchint","NGN"
"Prospa Capital Microfinance Bank","090495","Nigeria","prospacapmfb","NGN"
"ECOBANK CAMEROUN","CM029000","CM","ecobankcameroun","XAF"
"BANQUE INTERNATIONALE DU CAMEROUN POUR L'EPARGNE ET LE CREDIT","CM10001","CM","banqueinternationaleducamerounpourl'epargneetlecredit","XAF"
"STANDARD CHARTERED BANK","CM10004","CM","standardcharteredbank","XAF"
"AFRILAND FIRST BANK","CM10005","CM","afrilandfirstbank","XAF"
"CITIBANK","CM10007","CM","citibank","XAF"
"COMMERCIAL BANK CAMEROUN","CM10008","CM","commercialbankcameroun","XAF"
"CREDIT FONCIER DU CAMEROUN","CM10019","CM","creditfoncierducameroun","XAF"
"UNION BANK CAMEROUN","CM10023","CM","unionbankcameroun","XAF"
"NATIONAL FINANCIAL CREDIT BANK","CM10025","CM","nationalfinancialcreditbank","XAF"
"UNITED BANK OF AFRICA","CM10033","CM","unitedbankofafrica","XAF"
"BANQUE ATLANTIQUE DU CAMEROUN","CM10034","CM","banqueatlantiqueducameroun","XAF"
"BGFI BANK CAMEROUN","CM10035","CM","bgfibankcameroun","XAF"
"BANQUE DES PME","CM10036","CM","banquedespme","XAF"
"TRESOR PUBLIC CAMEROUN","11111666","","trespub","XAF"
"BANK OF CREDIT AND COMMERCE CAMEROON S.A.","11119240","","banofcre","XAF"
"BANQUE CAMEROUNAISE DES PETITES ET MOYENNES ENTREPRISES","11254194","","bamcamdes","XAF"
"CAMEROON POSTAL SERVICES","11272818","","campost","XAF"
"CM","1812142W6Z","","cm","XAF"
"ECOCCIAB","1904043RTW","","ecocc","XAF"
"CMMTN","1911206N84","","cmmtn","XAF"
"CMORANGE","1911206N86","","cmorange","XAF"
"STANDARD CHARTERED BANK CAMEROON S.A.","20072700","","stachaba","XAF"
"BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)","20072800","","bandes","XAF"
"BANQUE INTERNATIONALE DU CAMEROUN POUR L'EPARGNE ET LE CREDIT","20072900","","banint","XAF"
"CREDIT FONCIER DU CAMEROUN","20073100","","creditfon","XAF"
"SOCIETE COMMERCIALE DE BANQUE CAMEROUN S.A.","20073200","","soccom","XAF"
"SOCIETE GENERALE DE BANQUES AU CAMEROUN","20073300","","socgen","XAF"
"KARAMOUZI SBANK TRUST LTD","25557598","","kara","XAF"
"CREDIT COMMUNAUTAIRE D'AFRIQUE C.C.A.","25570620","","credit","XAF"
"NATIONAL FINANCIAL CREDIT BANK","25706498","","nationalfinancial","XAF"
"BANQUE ATLANTIQUE CAMEROUN","26146684","","","XAF"
"BGFIBANK CAMEROUN SA","26621388","","bgf","XAF"
"BRITISH AMERICAN TOBACCO CAMEROUN S.A","27199334","","britistamerica","XAF"
"COMMERCIAL BANK OF CAMEROON","96913170","","commercialbank","XAF"
"UNION BANK OF CAMEROON LTD","97276952","","unionbank","XAF"
"UNITED BANK FOR AFRICA PLC CAMEROON","99593458","","unitedbank","XAF"
"LEVITE MFB","90731","Nigeria","levitemfb","NGN"
"NOVUS MFB","90734","Nigeria","novusmfb","NGN"
"NAF MFB","90740","Nigeria","nafmfb","NGN"
"IBBU MFB","90697","Nigeria","ibbumfb","NGN"
"DW MFB","90721","Nigeria","dwmfb","NGN"
"LEVITE MFB","090731","Nigeria","levitemfb","NGN"
"NOVUS MFB","090734","Nigeria","novusmfb","NGN"
"NAF MFB","090740","Nigeria","nafmfb","NGN"
"IBBU MFB","090697","Nigeria","ibbumfb","NGN"
"DW MFB","090721","Nigeria","dwmfb","NGN"
"OGBERURU MFB","090738","Nigeria","ogberurumfb","NGN"
"WESTON-CHARIS MFB","090741","Nigeria","westoncharismfb","NGN"
"NOMASE MFB","090736","Nigeria","nomasemfb","NGN"
"MAESTRO MFB","090746","Nigeria","maestromfb","NGN"
"DIGITVANT MFB","090741","Nigeria","digitvantmfb","NGN"
"DW MFB","90721","NG","dwmfb","NGN"
"OGBERURU MFB","90738","NG","ogberurumfb","NGN"
"WESTON-CHARIS MFB","90741","NG","westoncharis","NGN"
"NOMASE MFB","90736","NG","nomase","NGN"
"MAESTRO MFB","90746","NG","maestromfb","NGN"
"DIGITVANT MFB","90741","NG","digitalmfb","NGN"
"OGIGE MFB","90739","NG","ogigemfb","NGN"
"Noun MFB","090822","NG","NounMFB","NGN"
"ZEFA MFB","90747","NG","zefamfb","NGN"
"BOSAK MFB","90176","NG","bosakmfb","NGN"
"City Bank","023","NG","citybank","NGN"
"KOLOMONI MFB","90480","NG","Kolomonimicrofinancebank","NGN"
"FUD MFB","90318","NG","fudmfb","NGN"
"Refuge Mortgage Bank","070011","NG","refugemortgage","NGN"
"Citi Bank","023","NG","citi","NGN"
"Titan Trust Bank","000025","NG","titantrust","NGN"
"Central Bank Of Nigeria","000028","NG","centralbank","NGN"
"Central Bank Of Nigeria","000028","NG","centralbank","NGN"
"Parallex Bank","000030","NG","parallex","NGN"
"PremiumTrust Bank","000031","NG","premiumtrustbank","NGN"
"Optimus Bank","000036","NG","optimus","NGN"
"ALTERNATIVE BANK LIMITED","000037","NG","alternativebank","NGN"
"County Finance Ltd","050001","NG","countyfinance","NGN"
"Fewchore Finance Company Limited","050002","NG","fewchorefinance","NGN"
"Sagegrey Finance Limited","050003","NG","sagegreyfinance","NGN"
"Newedge Finance Ltd","050004","NG","newedgefinance","NGN"
"Aaa Finance","050005","NG","aaafinance","NGN"
"Branch International Finance Company Limited","050006","NG","branchinternational","NGN"
"SIGNATURE BANK","000034","NG","siganture","NGN"
"ENaira","000033","NG","enaira","NGN"
"Tekla Finance Ltd","050007","NG","teklafinance","NGN"
"SIMPLE FINANCE LIMITED","050008","NG","simplefinance","NGN"
"FAST CREDIT","050009","NG","fastcredit","NGN"
"FUNDQUEST FINANCIAL SERVICES LTD","050010","NG","fundquest","NGN"
"NIP Virtual Bank","999999","NG","nipvirtual","NGN"
"FSDH Merchant Bank","400001","NG","fsdhmerchant","NGN"
"ChamsMobile","303","NG","chamsmobile","NGN"
"CBN_TSA","999001","NG","cbn-tsa","NGN"
"Money Master Psb","120005","NG","moneymaster","NGN"
"Smartcash Payment Service Bank","120004","NG","smartcash","NGN"
"Momo Psb","120003","NG","momopsb","NGN"
"Hopepsb","120002","NG","hopepsb","NGN"
"9 Payment Service Bank","120001","NG","9paymentservice","NGN"
"CREDIT DIRECT LIMITED","110049","NG","creditdirect","NGN"
"Leadremit Limited","110044","NG","leadremit","NGN"
"Woven Finance","110029","NG","wovenfinance","NGN"
"Nomba Financial Services Limited","110028","NG","nombafinancial","NGN"
"Yello Digital Financial Services","110027","NG","yellodigital","NGN"
"Spay Business","110026","NG","spaybusiness","NGN"
"Netapps Technology Limited","110025","NG","netapps","NGN"
"Resident Fintech Limited","110024","NG","residentfintech","NGN"
"Capricorn Digital","110023","NG","capricondigital","NGN"
"Koraypay","110022","NG","korapay","NGN"
"Bud Infrastructure Limited","110021","NG","budinfrastructure","NGN"
"Microsystems Investment And Development Limited","110018","NG","microsysinvestment","NGN"
"Crowdforce","110017","NG","crowdforce","NGN"
"Vas2Nets Limited","000033","NG","vas2nets","NGN"
"Qr Payments","110013","NG","qrpayments","NGN"
"Cellulant Pssp","110012","NG","cellulantpssp","NGN"
"Arca Payments","110011","NG","arcapayments","NGN"
"Interswitch Financial Inclusion Services (Ifis)","110010","NG","interswitch","NGN"
"Venture Garden Nigeria Limited","110009","NG","venturegarden","NGN"
"Kadick Integration Limited","110008","NG","kadickint","NGN"
"TeamApt","110007","NG","teamApt","NGN"
"Paystack Payments Limited","110006","NG","paystack","NGN"
"3Line Card Management Limited","110005","NG","3linecard","NGN"
"First Apple Limited","110004","NG","firstapple","NGN"
"Interswitch Limited","110003","NG","interswitch","NGN"
"Flutterwave Technology Solutions Limited","110002","NG","flutterwavetech","NGN"
"PayAttitude Online","110001","NG","payattitude","NGN"
"Beta-Access Yello","100052","NG","betaccess","NGN"
"PAYSTACK-TITAN","100039","NG","paystacktitan","NGN"
"Kegow(Chamsmobile)","100036","NG","kegow","NGN"
"M36","100035","NG","m36","NGN"
"ZENITH EAZY WALLET","100034","NG","eazywalllet","NGN"
"NOWNOW DIGITAL SYSTEMS","100032","NG","contecglobal","NGN"
"FCMB Easy Account","100031","NG","fcmbeasy","NGN"
"EcoMobile","000030","NG","ecomobile","NGN"
"Innovectives Kesh","100029","NG","innovectives","NGN"
"AG Mortgage Bank","100028","NG","agmortgage","NGN"
"Intellifin","100027","NG","intellifin","NGN"
"Zinternet Nigera Limited","100025","NG","zinternet","NGN"
"Imperial Homes Mortgage Bank","100024","NG","imperial","NGN"
"TagPay","100023","NG","tagpay","NGN"
"Eartholeum","100021","NG","eartholeum","NGN"
"GoMoney","100022","NG","gopay","NGN"
"Imowo Microfinance Bank","090417","NG","imowo","NGN"
"Highland Microfinance Bank","090418","NG","highland","NGN"
"Winview Bank","090419","NG","winview","NGN"
"Letshego MFB","090420","NG","letshego","NGN"
"Izon Microfinance Bank","090421","NG","izon","NGN"
"Landgold  Microfinance Bank","090422","NG","landgold","NGN"
"MAUTECH Microfinance Bank","090423","NG","mautech","NGN"
"Abucoop  Microfinance Bank","090424","NG","abucoop","NGN"
"Banex Microfinance Bank","090425","NG","banex","NGN"
"Tangerine Bank","090426","NG","tangerinebank","NGN"
"Ebsu Microfinance Bank","090427","NG","ebsu","NGN"
"Ishie  Microfinance Bank","090428","NG","ishie","NGN"
"Crossriver  Microfinance Bank","090429","NG","crossriver","NGN"
"Ilora Microfinance Bank","090430","NG","ilora","NGN"
